number,name,city,state,country,postcode,latitude,longitude,offset,description,created_at,address_id
324,Mill Road,Leicester,Derbyshire,United Kingdom,R3 2DQ,40.2833,-160.3034,+3:00,"Baghdad, Riyadh, Moscow, St. Petersburg",2022-03-14,188
4522,شهید محمد منتظری,همدان,آذربایجان شرقی,Iran,42983,-9.5946,-4.1967,+3:00,"Baghdad, Riyadh, Moscow, St. Petersburg",2022-03-14,189
1843,Hämeentie,Kittilä,Lapland,Finland,51694,-15.3055,-161.8208,+6:00,"Almaty, Dhaka, Colombo",2022-03-14,190
5245,The Drive,Clonakilty,Carlow,Ireland,25794,72.9525,5.0205,+11:00,"Magadan, Solomon Islands, New Caledonia",2022-03-14,191
5500,Rue Jean-Baldassini,Birrhard,Schwyz,Switzerland,1332,-74.5559,-145.4987,-3:30,Newfoundland,2022-03-14,192
8145,Avenue Paul Eluard,Paris,La Réunion,France,22292,64.0281,-157.3851,+3:00,"Baghdad, Riyadh, Moscow, St. Petersburg",2022-03-14,193
3277,Stålverkskroken,Straumen,Hordaland,Norway,0124,-50.5557,176.0580,+3:00,"Baghdad, Riyadh, Moscow, St. Petersburg",2022-03-14,194
1118,The Grove,Youghal,Wexford,Ireland,74262,54.9824,-34.3907,+3:30,Tehran,2022-03-14,195
3219,Maçka Cd,Erzincan,Adıyaman,Turkey,89636,-75.4159,-73.2586,-2:00,Mid-Atlantic,2022-03-14,196
9040,امام خمینی,زاهدان,فارس,Iran,93613,25.6760,-3.1725,+5:30,"Bombay, Calcutta, Madras, New Delhi",2022-03-14,197
2039,Frederick Street,Porirua,Marlborough,New Zealand,78243,-39.3161,-55.3276,+9:30,"Adelaide, Darwin",2022-03-14,198
5429,Valwood Pkwy,Mildura,Queensland,Australia,3728,-71.9285,-177.9973,+5:30,"Bombay, Calcutta, Madras, New Delhi",2022-03-14,199
9889,Place du 22 Novembre 1943,Gündlischwand,Fribourg,Switzerland,4674,28.3805,178.7351,-8:00,Pacific Time (US & Canada),2022-03-14,200
2909,Friedhofstraße,Zirndorf,Thüringen,Germany,52656,80.1684,-34.7582,-12:00,"Eniwetok, Kwajalein",2022-03-14,201
2640,Route de Genas,Grolley,Solothurn,Switzerland,3487,10.4285,-162.8737,+2:00,"Kaliningrad, South Africa",2022-03-14,202
2483,Beukelaarsweg,Ravenswaaij,Zeeland,Netherlands,46239,-54.9697,-96.0051,-11:00,"Midway Island, Samoa",2022-03-14,203
2119,Våghalsen,Veggli,Vestfold,Norway,2673,11.5626,-66.9498,+3:30,Tehran,2022-03-14,204
3489,Pitt Street,Masterton,Wellington,New Zealand,38390,-25.9999,92.4190,+9:30,"Adelaide, Darwin",2022-03-14,205
6199,Vatan Cd,Burdur,Kütahya,Turkey,69808,-26.1668,87.9853,+5:45,Kathmandu,2022-03-14,206
7580,Våronnveien,Fagerstrand,Sogn og Fjordane,Norway,7623,-47.7962,59.5389,+5:00,"Ekaterinburg, Islamabad, Karachi, Tashkent",2022-03-14,207
3505,Ranchview Dr,Santa Clarita,California,United States,71925,35.9385,-123.9037,+5:45,Kathmandu,2022-03-14,208
7877,Avenue de la Libération,Bougy-Villars,Solothurn,Switzerland,3524,76.6347,-165.8702,+9:30,"Adelaide, Darwin",2022-03-14,209
8403,Bakketoppen,Dokka,Finnmark - Finnmárku,Norway,9292,79.2413,-66.3398,+5:00,"Ekaterinburg, Islamabad, Karachi, Tashkent",2022-03-14,210
6593,Højdevej,Bælum,Hovedstaden,Denmark,65679,35.4644,-136.5668,-5:00,"Eastern Time (US & Canada), Bogota, Lima",2022-03-14,211
5929,Tecumseh Rd,Armstrong,Ontario,Canada,N7R 8U6,-89.2154,-161.1014,-9:00,Alaska,2022-03-14,212
5031,واعظی,قائم‌شهر,سیستان و بلوچستان,Iran,10863,17.9292,-13.3153,+6:00,"Almaty, Dhaka, Colombo",2022-03-14,213
850,Parliament St,Georgetown,Alberta,Canada,Z8S 6Q5,1.6219,-153.0688,-3:30,Newfoundland,2022-03-14,214
433,Avenida de La Albufera,Gandía,Galicia,Spain,44099,89.2131,-21.4593,+10:00,"Eastern Australia, Guam, Vladivostok",2022-03-14,215
4968,Ronda de Toledo,Pontevedra,Región de Murcia,Spain,43492,31.2312,37.4976,-5:00,"Eastern Time (US & Canada), Bogota, Lima",2022-03-14,216
2228,Victoria Avenue,Whangarei,West Coast,New Zealand,16846,-13.1572,-125.9980,+8:00,"Beijing, Perth, Singapore, Hong Kong",2022-03-14,217
1780,Calle de Pedro Bosch,Pontevedra,Navarra,Spain,26888,20.5822,-108.5847,+3:00,"Baghdad, Riyadh, Moscow, St. Petersburg",2022-03-14,218
1479,Bavnehøjvej,Nørre Sundby,Sjælland,Denmark,58161,-3.5232,149.0575,+6:00,"Almaty, Dhaka, Colombo",2022-03-14,219
2243,Bridge Road,Westminster,Greater Manchester,United Kingdom,FR72 1EQ,-18.2562,114.7055,+5:45,Kathmandu,2022-03-14,220
243,Bağdat Cd,Edirne,Manisa,Turkey,68269,6.7071,-96.2695,-1:00,"Azores, Cape Verde Islands",2022-03-14,221
1329,Ullagerveien,Sandøya,Trøndelag,Norway,6156,27.5896,-62.4395,+8:00,"Beijing, Perth, Singapore, Hong Kong",2022-03-14,222
2211,Schulweg,Waiblingen,Niedersachsen,Germany,45196,3.2606,72.3619,+9:00,"Tokyo, Seoul, Osaka, Sapporo, Yakutsk",2022-03-14,223
3243,Rue de L'Abbé-Grégoire,Chamblon,Neuchâtel,Switzerland,7194,-45.4579,-47.6805,+5:30,"Bombay, Calcutta, Madras, New Delhi",2022-03-14,224
3435,Jøranstien,Hafslo,Møre og Romsdal,Norway,4209,29.7670,-48.2461,-12:00,"Eniwetok, Kwajalein",2022-03-14,225
3741,Rue des Cuirassiers,Besançon,Doubs,France,88637,-42.2342,64.7588,+5:00,"Ekaterinburg, Islamabad, Karachi, Tashkent",2022-03-14,226
9871,Avenue Tony-Garnier,Rouen,Val-D'Oise,France,84359,32.3326,34.9184,-7:00,Mountain Time (US & Canada),2022-03-14,227
7001,Rue de Bonnel,Dijon,Allier,France,33582,-4.5712,-108.6829,+5:30,"Bombay, Calcutta, Madras, New Delhi",2022-03-14,228
4368,Vatan Cd,Samsun,Tokat,Turkey,65133,63.3646,128.3471,-4:00,"Atlantic Time (Canada), Caracas, La Paz",2022-03-14,229
7533,Visiokatu,Sipoo,Pirkanmaa,Finland,89843,-44.7091,-150.5305,-6:00,"Central Time (US & Canada), Mexico City",2022-03-14,230
717,میرزای شیرازی,شیراز,گیلان,Iran,32475,0.3191,173.8662,+5:45,Kathmandu,2022-03-14,231
8465,Springfield Road,Swansea,Wiltshire,United Kingdom,HT3 8TE,40.2935,-17.5943,-5:00,"Eastern Time (US & Canada), Bogota, Lima",2022-03-14,232
1675,Pirkankatu,Kauhajoki,Uusimaa,Finland,69453,-60.5007,132.0789,-12:00,"Eniwetok, Kwajalein",2022-03-14,233
1931,Camden Ave,Perth,Tasmania,Australia,9885,-44.7990,5.5337,-3:30,Newfoundland,2022-03-14,234
711,Blenheim Road,Hamilton,West Coast,New Zealand,93936,58.7058,22.4215,-12:00,"Eniwetok, Kwajalein",2022-03-14,235
6500,Calle del Barquillo,Albacete,Islas Baleares,Spain,94000,66.8501,-100.9656,+2:00,"Kaliningrad, South Africa",2022-03-14,236
2094,Ringgade,København Sv,Sjælland,Denmark,41232,-29.2321,58.9829,-12:00,"Eniwetok, Kwajalein",2022-03-14,237
8414,Cackson St,Devonport,Queensland,Australia,5192,-39.9037,-108.9952,-5:00,"Eastern Time (US & Canada), Bogota, Lima",2022-03-14,238
2334,Abanoz Sk,Çankırı,Kırşehir,Turkey,40713,68.9238,175.9155,+8:00,"Beijing, Perth, Singapore, Hong Kong",2022-03-14,239
1686,Cackson St,Hobart,Queensland,Australia,8948,-58.1107,-85.0219,+9:30,"Adelaide, Darwin",2022-03-14,240
8174,Concession Road 6,Armstrong,Nova Scotia,Canada,R6T 5I0,67.3746,-40.6939,+5:30,"Bombay, Calcutta, Madras, New Delhi",2022-03-14,241
5272,دکتر مفتح,قم,سمنان,Iran,83540,-31.9790,-17.2005,+11:00,"Magadan, Solomon Islands, New Caledonia",2022-03-14,242
664,Boomkleverstraat,Nieuweschild,Overijssel,Netherlands,80377,-38.5724,129.6426,+5:30,"Bombay, Calcutta, Madras, New Delhi",2022-03-14,243
5660,Preston Rd,Melbourne,Tasmania,Australia,7624,80.2362,96.0396,-7:00,Mountain Time (US & Canada),2022-03-14,244
4480,شهید استاد حسن بنا,بابل,گلستان,Iran,46615,37.3213,110.6712,-11:00,"Midway Island, Samoa",2022-03-14,245
5174,Peel St,New Glasgow,Québec,Canada,L2V 4O1,86.0627,95.4381,+1:00,"Brussels, Copenhagen, Madrid, Paris",2022-03-14,246
8366,Tunalı Hilmi Cd,İzmir,Kastamonu,Turkey,63210,-62.1368,116.5794,+9:30,"Adelaide, Darwin",2022-03-14,247
6738,Rua Dois,Bacabal,Rio Grande do Norte,Brazil,78687,59.1570,-77.6024,+2:00,"Kaliningrad, South Africa",2022-03-14,248
9256,Kalberg,Losdorp,Zuid-Holland,Netherlands,44884,85.9922,61.0241,-3:30,Newfoundland,2022-03-14,249
8628,Victoria Road,Stevenage,Herefordshire,United Kingdom,N9 7AT,-3.4380,77.3548,+5:00,"Ekaterinburg, Islamabad, Karachi, Tashkent",2022-03-14,250
9656,Niels Juels Vej,Viby Sj.,Hovedstaden,Denmark,50405,-63.5764,-4.6344,+2:00,"Kaliningrad, South Africa",2022-03-14,251
2958,St. Catherine St,Enterprise,Prince Edward Island,Canada,D9L 0H8,38.2627,-93.0818,+5:30,"Bombay, Calcutta, Madras, New Delhi",2022-03-14,252
9725,17 شهریور,اصفهان,کهگیلویه و بویراحمد,Iran,79537,57.2411,-54.5949,+4:30,Kabul,2022-03-14,253
9576,Te Rapa Road,Invercargill,Manawatu-Wanganui,New Zealand,42052,44.1064,116.6314,+8:00,"Beijing, Perth, Singapore, Hong Kong",2022-03-14,254
3523,Atatürk Sk,Diyarbakır,Iğdır,Turkey,41183,15.7949,-27.2575,+5:00,"Ekaterinburg, Islamabad, Karachi, Tashkent",2022-03-14,255
5074,The Grove,Portarlington,Wexford,Ireland,74521,36.1929,-111.9980,+8:00,"Beijing, Perth, Singapore, Hong Kong",2022-03-14,256
5026,New Street,Ely,Gwynedd County,United Kingdom,T29 2UN,44.6619,-26.8260,+2:00,"Kaliningrad, South Africa",2022-03-14,257
5415,نبرد,گلستان,خوزستان,Iran,70440,40.9071,-105.3874,-12:00,"Eniwetok, Kwajalein",2022-03-14,258
9824,J.J.M. Vegterstraat,Foxwolde,Utrecht,Netherlands,88349,81.9509,28.3477,-10:00,Hawaii,2022-03-14,259
2947,Springfield Road,Cardiff,Lincolnshire,United Kingdom,RQ04 3BQ,30.3734,129.6491,+5:45,Kathmandu,2022-03-14,260
5652,Bekkefaret,Tromsdalen,Hedmark,Norway,5848,88.4953,-68.0945,-3:00,"Brazil, Buenos Aires, Georgetown",2022-03-14,261
7792,Cackson St,Aubrey,Arizona,United States,44195,-8.5498,-113.1504,-5:00,"Eastern Time (US & Canada), Bogota, Lima",2022-03-14,262
8669,Rua Um,Itabuna,Minas Gerais,Brazil,50627,9.4824,-21.7892,+7:00,"Bangkok, Hanoi, Jakarta",2022-03-14,263
7880,Nowlin Rd,Maitland,New South Wales,Australia,4881,26.9969,100.3233,+8:00,"Beijing, Perth, Singapore, Hong Kong",2022-03-14,264
2045,King St,Bath,British Columbia,Canada,I6O 6Q7,-88.4354,8.2031,-6:00,"Central Time (US & Canada), Mexico City",2022-03-14,265
776,Trollvannsveien,Sandøya,Finnmark - Finnmárku,Norway,2413,-30.4827,2.8261,+11:00,"Magadan, Solomon Islands, New Caledonia",2022-03-14,266
5935,Maple Ave,Delta,Manitoba,Canada,J5G 6P4,-16.6828,-47.2334,+7:00,"Bangkok, Hanoi, Jakarta",2022-03-14,267
7167,Skjellveien,Flateby,Akershus,Norway,1747,-65.3325,89.0200,+11:00,"Magadan, Solomon Islands, New Caledonia",2022-03-14,268
8245,Bombardonlaan,Enter,Groningen,Netherlands,54355,16.1063,115.8436,+2:00,"Kaliningrad, South Africa",2022-03-14,269
1730,Rue de L'Abbé-Groult,Villeurbanne,Calvados,France,18021,71.2030,-106.3339,+6:00,"Almaty, Dhaka, Colombo",2022-03-14,270
4344,Taylor St,Bunbury,Tasmania,Australia,3859,-52.4483,179.7272,+5:00,"Ekaterinburg, Islamabad, Karachi, Tashkent",2022-03-14,271
8817,Avenida de Castilla,Orense,Andalucía,Spain,56644,68.3557,-71.6771,+5:30,"Bombay, Calcutta, Madras, New Delhi",2022-03-14,272
1746,The Green,Leeds,Lancashire,United Kingdom,ZC6S 6JY,61.4934,157.6482,-8:00,Pacific Time (US & Canada),2022-03-14,273
6875,Hillcrest Rd,Dubbo,Western Australia,Australia,7000,80.3327,175.2774,-5:00,"Eastern Time (US & Canada), Bogota, Lima",2022-03-14,274
8001,Mittelstraße,Clingen,Baden-Württemberg,Germany,12973,-24.5568,-88.4473,-1:00,"Azores, Cape Verde Islands",2022-03-14,275
7339,Elgin St,Tallahassee,South Dakota,United States,22406,-79.5911,33.6660,+10:00,"Eastern Australia, Guam, Vladivostok",2022-03-14,276
463,Novara Avenue,Naas,Monaghan,Ireland,26162,65.5823,103.6470,-2:00,Mid-Atlantic,2022-03-14,277
4785,Bahnhofstraße,Unna,Saarland,Germany,82535,39.8961,-166.5203,-1:00,"Azores, Cape Verde Islands",2022-03-14,278
6133,Tunalı Hilmi Cd,Samsun,İstanbul,Turkey,10325,81.7455,167.4869,+6:00,"Almaty, Dhaka, Colombo",2022-03-14,279
5616,Munkevænget,Haslev,Nordjylland,Denmark,30599,-67.0288,179.1205,+9:00,"Tokyo, Seoul, Osaka, Sapporo, Yakutsk",2022-03-14,280
8884,Hedevej,Roskilde,Hovedstaden,Denmark,90299,88.2731,-170.1929,+5:30,"Bombay, Calcutta, Madras, New Delhi",2022-03-14,281
9646,Great South Road,Invercargill,Manawatu-Wanganui,New Zealand,67945,37.4909,-0.5467,+10:00,"Eastern Australia, Guam, Vladivostok",2022-03-14,282
3519,Pecan Acres Ln,Tamworth,Victoria,Australia,2028,-9.7018,61.5372,-7:00,Mountain Time (US & Canada),2022-03-14,283
8644,Kushimoto Sk,Bingöl,Sinop,Turkey,71417,26.9454,-116.7020,0:00,"Western Europe Time, London, Lisbon, Casablanca",2022-03-14,284
6571,شهید محمد منتظری,آبادان,چهارمحال و بختیاری,Iran,50960,26.6832,169.9460,-9:00,Alaska,2022-03-14,285
5112,Dalhousie Ave,Westport,New Brunswick,Canada,H2G 9Y1,-13.5802,-43.8620,-6:00,"Central Time (US & Canada), Mexico City",2022-03-14,286
1243,Bergstraße,Sulzbach/Saar,Hessen,Germany,84056,-5.1741,31.7253,+4:00,"Abu Dhabi, Muscat, Baku, Tbilisi",2022-03-14,287
1040,Church Street,Belfast,Grampian,United Kingdom,V6F 1FH,-82.6806,-159.1232,+1:00,"Brussels, Copenhagen, Madrid, Paris",2022-03-14,288
2123,Kvistveien,Skogmo,Oslo,Norway,2207,68.5264,-17.7736,+6:00,"Almaty, Dhaka, Colombo",2022-03-14,289
6899,Calle de Ferraz,Lugo,Islas Baleares,Spain,71283,-30.3289,67.3113,+5:00,"Ekaterinburg, Islamabad, Karachi, Tashkent",2022-03-14,290
7459,Kleverstraat,Ossenisse,Friesland,Netherlands,48847,-67.9705,82.9519,+5:30,"Bombay, Calcutta, Madras, New Delhi",2022-03-14,291
3787,Moldegata,Kyrkjebø,Sør-Trøndelag,Norway,3003,0.8440,-111.1400,+5:00,"Ekaterinburg, Islamabad, Karachi, Tashkent",2022-03-14,292
2229,Wheeler Ridge Dr,Anchorage,Arkansas,United States,79374,89.9503,60.3982,+5:00,"Ekaterinburg, Islamabad, Karachi, Tashkent",2022-03-14,293
9581,Regent Ave,Oakville,Ontario,Canada,A6N 7C9,-52.5117,149.0538,-3:00,"Brazil, Buenos Aires, Georgetown",2022-03-14,294
8566,Rua Três,Franca,Goiás,Brazil,15192,-48.7869,105.6512,+8:00,"Beijing, Perth, Singapore, Hong Kong",2022-03-14,295
5439,New Road,Salisbury,Hampshire,United Kingdom,K89 8BD,-21.3319,69.3705,-2:00,Mid-Atlantic,2022-03-14,296
4089,Calle del Pez,Castellón de la Plana,Melilla,Spain,77619,62.9785,0.0993,+1:00,"Brussels, Copenhagen, Madrid, Paris",2022-03-14,297
8640,Hezemanspad,Achterberg,Drenthe,Netherlands,69244,-15.8323,144.4002,-8:00,Pacific Time (US & Canada),2022-03-14,298
5961,Bay Ave,Beaumont,Nova Scotia,Canada,W2D 1V2,23.3246,94.8893,+3:00,"Baghdad, Riyadh, Moscow, St. Petersburg",2022-03-14,299
8165,North Road,Kingston upon Hull,Merseyside,United Kingdom,YH15 0ZL,81.6096,43.1971,-12:00,"Eniwetok, Kwajalein",2022-03-14,300
5191,Springfield Road,Bandon,Roscommon,Ireland,71787,30.2995,42.8758,-5:00,"Eastern Time (US & Canada), Bogota, Lima",2022-03-14,301
9403,ولیعصر / مصدق,قدس,گیلان,Iran,80393,47.2256,-59.5499,+4:30,Kabul,2022-03-14,302
3476,Mill Road,Westport,Meath,Ireland,61273,-8.8779,-85.4489,+6:00,"Almaty, Dhaka, Colombo",2022-03-14,303
4496,Avenida de La Albufera,Valencia,Castilla y León,Spain,74347,87.4001,145.9713,+5:30,"Bombay, Calcutta, Madras, New Delhi",2022-03-14,304
7819,Cedar St,Glenwood,New Brunswick,Canada,M2A 3J8,-28.4120,-111.9029,+6:00,"Almaty, Dhaka, Colombo",2022-03-14,305
768,هلال احمر,دزفول,فارس,Iran,20654,-41.9577,153.1420,+3:00,"Baghdad, Riyadh, Moscow, St. Petersburg",2022-03-14,306
6857,Fredrikinkatu,Halsua,Southern Ostrobothnia,Finland,45729,40.8400,82.2789,+3:00,"Baghdad, Riyadh, Moscow, St. Petersburg",2022-03-14,307
256,Bazuinlaan,Benthuizen,Drenthe,Netherlands,58650,-88.7447,83.2160,-11:00,"Midway Island, Samoa",2022-03-14,308
5927,E Little York Rd,Hartford,Tennessee,United States,18023,27.6171,119.5159,+4:30,Kabul,2022-03-14,309
8289,Edvard Griegs allé,Hvittingfoss,Description,Norway,3231,25.1849,96.0775,+3:00,"Baghdad, Riyadh, Moscow, St. Petersburg",2022-03-14,310
481,Hatanpään Valtatie,Lohja,Northern Ostrobothnia,Finland,77395,26.9007,-100.1201,+7:00,"Bangkok, Hanoi, Jakarta",2022-03-14,311
6871,Eason Rd,Flowermound,Idaho,United States,36894,56.8490,-126.3258,+2:00,"Kaliningrad, South Africa",2022-03-14,312
7105,Calle de Argumosa,Granada,País Vasco,Spain,12523,33.1555,-2.7613,-1:00,"Azores, Cape Verde Islands",2022-03-14,313
9345,Herbert Road,Arklow,Kildare,Ireland,42179,-83.0673,-81.3972,+9:30,"Adelaide, Darwin",2022-03-14,314
7182,Manchester Road,Portsmouth,Greater Manchester,United Kingdom,Y96 3AJ,33.5887,162.7687,-3:30,Newfoundland,2022-03-14,315
4737,Smokey Ln,Thornton,New Hampshire,United States,60679,-31.0201,120.5344,+3:30,Tehran,2022-03-14,316
2374,پارک ارم,شیراز,خراسان شمالی,Iran,67739,84.5783,-160.1042,-5:00,"Eastern Time (US & Canada), Bogota, Lima",2022-03-14,317
337,Königsberger Straße,Havelland,Schleswig-Holstein,Germany,74815,-5.3254,-69.3699,+11:00,"Magadan, Solomon Islands, New Caledonia",2022-03-14,318
6214,Anzac Drive,New Plymouth,Tasman,New Zealand,18176,10.0939,24.2296,+11:00,"Magadan, Solomon Islands, New Caledonia",2022-03-14,319
5827,Talak Göktepe Cd,Malatya,Konya,Turkey,35670,-14.5413,73.0757,-5:00,"Eastern Time (US & Canada), Bogota, Lima",2022-03-14,320
3725,Fatih Sultan Mehmet Cd,Bingöl,Tokat,Turkey,11932,-85.2489,-33.1961,+2:00,"Kaliningrad, South Africa",2022-03-14,321
5250,Queen St,Delisle,Manitoba,Canada,E5J 9Y4,-1.9117,-154.8553,+6:00,"Almaty, Dhaka, Colombo",2022-03-14,322
5475,Cherry St,Concord,Oregon,United States,62995,64.3238,33.3461,+6:00,"Almaty, Dhaka, Colombo",2022-03-14,323
9496,Manchester Road,Newry,Tyne and Wear,United Kingdom,JE23 4SW,-14.6158,42.8072,+1:00,"Brussels, Copenhagen, Madrid, Paris",2022-03-14,324
7246,Church Street,Carlisle,Bedfordshire,United Kingdom,V9 1LG,45.3450,96.5979,+6:00,"Almaty, Dhaka, Colombo",2022-03-14,325
2812,Kiefernweg,Spangenberg,Bremen,Germany,73476,-15.8462,156.3519,+3:00,"Baghdad, Riyadh, Moscow, St. Petersburg",2022-03-14,326
8735,Avenida de Castilla,Valladolid,La Rioja,Spain,51337,77.1796,73.7694,+3:00,"Baghdad, Riyadh, Moscow, St. Petersburg",2022-03-14,327
4430,Dickens Street,Tauranga,Nelson,New Zealand,12180,8.3432,-63.8311,+7:00,"Bangkok, Hanoi, Jakarta",2022-03-14,328
5797,Avenida de Salamanca,Barcelona,Asturias,Spain,24645,11.2824,169.8386,+5:45,Kathmandu,2022-03-14,329
8466,George St,Bath,Québec,Canada,X1V 0Y7,38.2337,-146.3242,-3:30,Newfoundland,2022-03-14,330
8953,Liaveien,Hattfjelldal,Telemark,Norway,1397,33.7516,-25.4491,-5:00,"Eastern Time (US & Canada), Bogota, Lima",2022-03-14,331
4579,Westmoreland Street,Mullingar,Galway City,Ireland,34027,75.7548,-54.4070,-1:00,"Azores, Cape Verde Islands",2022-03-14,332
34,Josefines gate,Torvika,Telemark,Norway,7125,31.3493,-134.7496,+4:00,"Abu Dhabi, Muscat, Baku, Tbilisi",2022-03-14,333
7877,Rua Paraíba ,Barra Mansa,Roraima,Brazil,99627,-14.0826,167.1127,-3:00,"Brazil, Buenos Aires, Georgetown",2022-03-14,334
7536,Plum St,Saint Paul,Ohio,United States,19855,68.7151,107.6721,-1:00,"Azores, Cape Verde Islands",2022-03-14,335
1748,Østerbyvej,Sommersted,Danmark,Denmark,28188,-0.6449,31.4159,+6:00,"Almaty, Dhaka, Colombo",2022-03-14,336
7543,South Street,Newry,Herefordshire,United Kingdom,ZU11 4DN,-66.2617,-102.5813,-6:00,"Central Time (US & Canada), Mexico City",2022-03-14,337
7203,Duke St,Delisle,Manitoba,Canada,R0N 0N2,-62.1381,-12.9972,+10:00,"Eastern Australia, Guam, Vladivostok",2022-03-14,338
7168,E North St,Jacksonville,Alabama,United States,61338,33.5173,36.0973,+7:00,"Bangkok, Hanoi, Jakarta",2022-03-14,339
8354,Charel Baelemanspad,Hoogwoud,Noord-Brabant,Netherlands,43644,-39.4940,-100.2262,-3:00,"Brazil, Buenos Aires, Georgetown",2022-03-14,340
1360,Şehitler Cd,Hatay,Malatya,Turkey,49003,-78.8012,-115.9805,+4:30,Kabul,2022-03-14,341
1966,Park Lane,Leicester,Lancashire,United Kingdom,GE93 5JT,25.7794,-142.8117,+11:00,"Magadan, Solomon Islands, New Caledonia",2022-03-14,342
2438,Nowlin Rd,Newark,Ohio,United States,21918,-17.0755,169.3803,+4:30,Kabul,2022-03-14,343
2279,Rue de Gerland,Courbevoie,Calvados,France,52317,35.6992,113.0762,-2:00,Mid-Atlantic,2022-03-14,344
11,Queensway,Edinburgh,County Down,United Kingdom,C8T 1TH,-24.7019,-159.9210,-3:00,"Brazil, Buenos Aires, Georgetown",2022-03-14,345
6563,Fjordbakken,Jerslev Sj,Syddanmark,Denmark,72934,74.4311,140.5160,+10:00,"Eastern Australia, Guam, Vladivostok",2022-03-14,346
4536,استاد نجات‌اللهی,کرمان,کرمان,Iran,40356,50.6563,-74.1699,+10:00,"Eastern Australia, Guam, Vladivostok",2022-03-14,347
4644,Friedhofstraße,Sachsenheim,Mecklenburg-Vorpommern,Germany,38969,-42.8246,-1.1488,-8:00,Pacific Time (US & Canada),2022-03-14,348
1914,Charles St,Selkirk,Newfoundland and Labrador,Canada,Z3G 8E3,46.9712,-79.0531,-12:00,"Eniwetok, Kwajalein",2022-03-14,349
9239,Clyde Street,Invercargill,Marlborough,New Zealand,87603,-1.4182,-172.2059,-8:00,Pacific Time (US & Canada),2022-03-14,350
5428,Rue de L'Abbé-Migne,Bösingen,St. Gallen,Switzerland,9384,36.1017,140.8483,-2:00,Mid-Atlantic,2022-03-14,351
9125,Rue Laure-Diebold,Oberrohrdorf,Luzern,Switzerland,2007,7.2714,-143.4425,-11:00,"Midway Island, Samoa",2022-03-14,352
7431,Reijolankatu,Merijärvi,Southern Savonia,Finland,64746,69.5032,100.0898,+4:30,Kabul,2022-03-14,353
3470,Shady Ln Dr,Warrnambool,Queensland,Australia,1601,-35.4700,48.0096,+10:00,"Eastern Australia, Guam, Vladivostok",2022-03-14,354
2410,Rua Minas Gerais ,Maceió,Piauí,Brazil,15068,47.5633,34.3013,+7:00,"Bangkok, Hanoi, Jakarta",2022-03-14,355
9794,Avenida da Legalidade,Taubaté,Alagoas,Brazil,16784,-69.8137,-145.0933,-4:00,"Atlantic Time (Canada), Caracas, La Paz",2022-03-14,356
8141,Riverside Drive,New Plymouth,Northland,New Zealand,56230,-8.8070,52.5182,-4:00,"Atlantic Time (Canada), Caracas, La Paz",2022-03-14,357
468,Suvantokatu,Pyhtää,Päijät-Häme,Finland,60956,-71.0238,133.8642,-1:00,"Azores, Cape Verde Islands",2022-03-14,358
1776,Westmoreland Street,Portlaoise,Galway,Ireland,76546,-12.7257,12.9218,+4:00,"Abu Dhabi, Muscat, Baku, Tbilisi",2022-03-14,359
879,Denny Street,Letterkenny,Cork City,Ireland,76561,-31.5075,-80.7163,+8:00,"Beijing, Perth, Singapore, Hong Kong",2022-03-14,360
6412,Bergstraße,Forchtenberg,Saarland,Germany,28379,63.3478,-132.1865,-6:00,"Central Time (US & Canada), Mexico City",2022-03-14,361
1341,Calle de Tetuán,Guadalajara,Canarias,Spain,42926,-42.8446,-6.8995,-1:00,"Azores, Cape Verde Islands",2022-03-14,362
5488,Rue du Château,Roubaix,Vendée,France,62584,-47.9763,-25.5745,+2:00,"Kaliningrad, South Africa",2022-03-14,363
6019,Carel Willinkstraat,Terherne,Noord-Holland,Netherlands,76628,-51.6651,-150.6719,+5:00,"Ekaterinburg, Islamabad, Karachi, Tashkent",2022-03-14,364
8940,Necatibey Cd,Ardahan,Elazığ,Turkey,31203,38.3219,-112.7877,+9:00,"Tokyo, Seoul, Osaka, Sapporo, Yakutsk",2022-03-14,365
1764,Grønlandsvej,Horsens,Hovedstaden,Denmark,73590,71.6325,-124.2884,+5:30,"Bombay, Calcutta, Madras, New Delhi",2022-03-14,366
7399,Rua Dezessete ,Ilhéus,Acre,Brazil,92104,-73.4225,-36.6441,+10:00,"Eastern Australia, Guam, Vladivostok",2022-03-14,367
2395,Route de Genas,Évolène,Appenzell Innerrhoden,Switzerland,2822,43.4636,175.4726,-2:00,Mid-Atlantic,2022-03-14,368
1650,میدان توحید,سیرجان,فارس,Iran,87660,84.3390,23.5638,+4:30,Kabul,2022-03-14,369
2077,Burgstraße,Zwiesel,Mecklenburg-Vorpommern,Germany,66629,-88.4007,11.8721,+9:00,"Tokyo, Seoul, Osaka, Sapporo, Yakutsk",2022-03-14,370
8488,Lone Wolf Trail,Wagga Wagga,Western Australia,Australia,5306,-4.6142,-90.1293,+3:00,"Baghdad, Riyadh, Moscow, St. Petersburg",2022-03-14,371
3268,Calle Nebrija,Toledo,Asturias,Spain,41358,57.1960,118.1342,-3:00,"Brazil, Buenos Aires, Georgetown",2022-03-14,372
2338,Memorial Avenue,Auckland,Hawke'S Bay,New Zealand,36720,73.0900,81.3862,-3:30,Newfoundland,2022-03-14,373
